Designator,Mid X,Mid Y,Layer,Rotation
AMS1117,-8.98,-16.00,Top,90.0
C3,-6.73,-23.02,Top,270.0
C4,-16.95,-12.83,Top,180.0
C5,-8.97,-22.98,Top,270.0
D1,-3.29,-20.50,Top,270.0
D2,-2.97,19.97,Top,180.0
D4, 4.61,-15.48,Top,180.0
D5, 4.27,20.02,Top,180.0
Q2, 0.90,-19.93,Top,180.0
Q3, 0.95,-15.93,Top,180.0
R5, 4.62,-17.44,Top,180.0
R6, 4.13, 6.31,Top,270.0
R7,-13.86,-12.88,Top,270.0
R8, 9.33,-13.93,Top,90.0
R9, 3.35,-12.83,Top,0.0
R12, 0.75,-12.83,Top,180.0
R15, 4.67,-19.82,Top,0.0
R16, 4.64,-21.80,Top,0.0
U1,16.45,-1.73,Top,90.0
U3,-11.10,-1.34,Top,90.0
